esclareci|verbo|passado|questionário|substantivo|singular_masculino|avaliativo|adjetivo|singular_masculino|do formulário|locucao_substantiva|locucao_substantiva_singular_masculina|temático|adjetivo|singular_masculino|Explicar como preencher os questionários
detalhei|verbo|passado|questionário|substantivo|singular_masculino|avaliativo|adjetivo|singular_masculino|do instrumento|locucao_substantiva|locucao_substantiva_singular_masculina|padronizado|adjetivo|singular_masculino|Explicar como preencher os questionários
ensinei|verbo|passado|diagnóstico|substantivo|singular_masculino|participativo|adjetivo|singular_masculino|do levantamento|locucao_substantiva|locucao_substantiva_singular_masculina|participativo|adjetivo|singular_masculino|Explicar como preencher os questionários
instrui|verbo|passado|diagnóstico|substantivo|singular_masculino|temático|adjetivo|singular_masculino|do instrumento|locucao_substantiva|locucao_substantiva_singular_masculina|padronizado|adjetivo|singular_masculino|Explicar como preencher os questionários
instrui|verbo|passado|questionário|substantivo|singular_masculino|estratégico|adjetivo|singular_masculino|da ferramenta|locucao_substantiva|locucao_substantiva_singular_feminina|territorial|adjetivo|singular_feminino|Explicar como preencher os questionários
forneci|verbo|passado|questionário|substantivo|singular_masculino|temático|adjetivo|singular_masculino|da ferramenta|locucao_substantiva|locucao_substantiva_singular_feminina|territorial|adjetivo|singular_feminino|Explicar como preencher os questionários
esclareci|verbo|passado|diagnóstico|substantivo|singular_masculino|padronizado|adjetivo|singular_masculino|do levantamento|locucao_substantiva|locucao_substantiva_singular_masculina|participativo|adjetivo|singular_masculino|Explicar como preencher os questionários
ensinei|verbo|passado|questionário|substantivo|singular_masculino|operacional|adjetivo|singular_masculino|do questionário|locucao_substantiva|locucao_substantiva_singular_masculina|diagnóstico|adjetivo|singular_masculino|Explicar como preencher os questionários
expliquei|verbo|passado|questionário|substantivo|singular_masculino|territorial|adjetivo|singular_masculino|do questionário|locucao_substantiva|locucao_substantiva_singular_masculina|diagnóstico|adjetivo|singular_masculino|Explicar como preencher os questionários
expliquei|verbo|passado|questionário|substantivo|singular_masculino|temático|adjetivo|singular_masculino|do levantamento|locucao_substantiva|locucao_substantiva_singular_masculina|participativo|adjetivo|singular_masculino|Explicar como preencher os questionários
demonstrei|verbo|passado|questionário|substantivo|singular_masculino|participativo|adjetivo|singular_masculino|do levantamento|locucao_substantiva|locucao_substantiva_singular_masculina|participativo|adjetivo|singular_masculino|Explicar como preencher os questionários
demonstrei|verbo|passado|questionário|substantivo|singular_masculino|participativo|adjetivo|singular_masculino|do formulário|locucao_substantiva|locucao_substantiva_singular_masculina|temático|adjetivo|singular_masculino|Explicar como preencher os questionários
apresentei|verbo|passado|questionário|substantivo|singular_masculino|temático|adjetivo|singular_masculino|do instrumento|locucao_substantiva|locucao_substantiva_singular_masculina|padronizado|adjetivo|singular_masculino|Explicar como preencher os questionários
descrevi|verbo|passado|questionário|substantivo|singular_masculino|territorial|adjetivo|singular_masculino|do instrumento|locucao_substantiva|locucao_substantiva_singular_masculina|padronizado|adjetivo|singular_masculino|Explicar como preencher os questionários
apresentei|verbo|passado|diagnóstico|substantivo|singular_masculino|territorial|adjetivo|singular_masculino|do formulário|locucao_substantiva|locucao_substantiva_singular_masculina|temático|adjetivo|singular_masculino|Explicar como preencher os questionários
descrevi|verbo|passado|questionário|substantivo|singular_masculino|operacional|adjetivo|singular_masculino|do instrumento|locucao_substantiva|locucao_substantiva_singular_masculina|padronizado|adjetivo|singular_masculino|Explicar como preencher os questionários
